Title,Type,Rating,Vote Count,Start Date,Studio
City Hunter: Goodbye My Sweetheart,SPECIAL,8.83,40,"Apr 25, 1997",Sunrise
City Hunter: Million Dollar Conspiracy,MOVIE,8.85,17,"Aug 25, 1990",Sunrise
CLAMP in Wonderland,MUSIC,8.92,13,"Nov 21, 1994",Animate Film
City Hunter: The Secret Service,SPECIAL,8.36,19,"Jan 05, 1996",Sunrise
City of Lost Things,MOVIE,5.64,14,2021,
CLAMP School Detectives Shorts,SPECIAL,9.25,4,"Apr 22, 2005",Pierrot
CLAMP in Wonderland 2,MUSIC,8.08,14,"Oct 26, 2007",Madhouse
CLAMP School Detectives,TV,7.97,23,"May 03, 1997",Pierrot
"Clannad: Another World, Kyou Chapter",SPECIAL,9.1,240,"Jul 01, 2009",Kyoto Animation
Clannad,TV,8.99,2278,"Oct 05, 2007",Kyoto Animation
Clannad: After Story,TV,9.37,2015,"Oct 03, 2008",Kyoto Animation
ClassicaLoid,TV,9.06,101,"Oct 08, 2016",Sunrise
"Clannad: Another World, Tomoyo Chapter",SPECIAL,9.27,282,"Jul 16, 2008",Kyoto Animation
Clannad: The Motion Picture,MOVIE,8.05,148,"Sep 15, 2007",Toei Animation
Classroom of the Elite,TV,8.68,13324,"Jul 12, 2017",Lerche
ClassicaLoid 2,TV,9.16,21,"Oct 07, 2017",Sunrise
Classroom for Heroes,TV,7.9,7481,"Jul 09, 2023",Actas
Classroom☆Crisis 5.5: Tabi no Haji wa Uwanuri,SPECIAL,8.79,20,"Dec 23, 2015",Lay-duce
Classroom of the Elite Season 2,TV,8.88,23298,"Jul 04, 2022",Lerche
Classroom☆Crisis,TV,8.63,449,"Jul 04, 2015",Lay-duce
Cleopatra D.C.,OVA,7.88,13,"Apr 28, 1989",J.C.Staff
Claymore,TV,8.84,1209,"Apr 04, 2007",Madhouse
Clean Freak! Aoyama kun,TV,8.87,1611,"Jul 03, 2017",Studio Hibari
Clockwork Planet,TV,8.79,807,"Apr 07, 2017",Xebec
Cleopatra: Queen of Sex,MOVIE,5.42,163,"Sep 15, 1970",Mushi Production
Clockwork Fighters Hiwou's War,TV,8.25,15,"Oct 24, 2000",Bones
CLUSTER EDGE,TV,7.7,21,"Oct 05, 2005",Sunrise
Close Combat Mage,ONA,8.27,106,2023,2:10 Animation
Closers: Side Blacklambs,ONA,8.06,110,"Dec 23, 2016",Studio Animal
COBRA THE ANIMATION,TV,6.33,19,"Jan 02, 2010",Magic Bus
CMFU College - Prince Touch Ball,ONA,5.77,114,"Nov 03, 2016",Foch Films
Cobalt World,MUSIC,6.71,8,"Dec 14, 2016",Sony Music Entertainment
Cockroach Girls,ONA,8.48,77,"Sep 14, 2012",WAO World
COBRA THE ANIMATION: The Psycho-Gun,OVA,8.04,9,"Aug 29, 2008",Magic Bus
Cobra Time Drive,OVA,7.06,11,"Apr 24, 2009",Magic Bus
Cocomong,TV,3.19,17,"Mar 05, 2008",Olive Studio
CoCO & NiCO,TV,9.5,2,"Apr 08, 2016",Kachidoki Studio
COCOLORS,MOVIE,7.65,145,"May 05, 2017",Kamikaze Douga
Code Geass: Akito the Exiled - Memories of Hatred,MOVIE,8.08,98,"Jul 04, 2015",Sunrise
Cocomong 2,TV,2.5,7,"Mar 04, 2011",Olive Studio
Cocomong 3,TV,6.22,5,"Mar 04, 2015",Olive Studio
Code Geass: Akito the Exiled - The Brightness Falls Picture Drama,SPECIAL,8.35,17,"Jun 26, 2015",Sunrise
Code Geass: Akito the Exiled - Memories of Hatred Picture Drama,SPECIAL,5.33,15,"Oct 28, 2015",Sunrise
Code Geass: Akito the Exiled - The Brightness Falls,MOVIE,8.63,93,"May 02, 2015",Sunrise
Code Geass: Akito the Exiled - The Wyvern Divided Picture Drama,SPECIAL,6.41,17,"Dec 25, 2013",Sunrise
Code Geass: Akito the Exiled - The Wyvern Arrives,MOVIE,8.37,127,"Jul 16, 2012",Sunrise
Code Geass: Akito the Exiled - The Wyvern Divided,MOVIE,8.59,111,"Sep 14, 2013",Sunrise
Code Geass: Lelouch of the Re;surrection,MOVIE,9.28,1541,"Feb 09, 2019",Sunrise
Code Geass: Akito the Exiled - To Beloved Ones,MOVIE,7.87,123,"Feb 06, 2016",Sunrise
Code Geass: Akito the Exiled - To Beloved Ones Picture Drama,SPECIAL,7.67,9,"Apr 22, 2016",Sunrise
Code Geass: Lelouch of the Rebellion,TV,9.19,6459,"Oct 06, 2006",Sunrise
Code Geass: Lelouch of the Re;surrection Picture Drama,SPECIAL,8.88,69,"Dec 05, 2019",Sunrise
Code Geass: Lelouch of the Re;surrection Special,SPECIAL,7.48,52,2019,Sunrise
Code Geass: Lelouch of the Rebellion I - Initiation,MOVIE,9.1,180,"Oct 21, 2017",Sunrise
Code Geass: Lelouch of the Rebellion - A Miraculous Birthday,SPECIAL,9.17,57,"Apr 23, 2010",Sunrise
Code Geass: Lelouch of the Rebellion - A Miraculous Birthday Extra Flash,SPECIAL,4.88,18,"Apr 23, 2010",Sunrise
Code Geass: Lelouch of the Rebellion Picture Drama - A Miraculous Anniversary,SPECIAL,9.07,37,"Apr 21, 2017",Sunrise
Code Geass: Lelouch of the Rebellion II - Transgression,MOVIE,8.67,106,"Feb 10, 2018",Sunrise
Code Geass: Lelouch of the Rebellion III - Glorification,MOVIE,9.09,174,"May 26, 2018",Sunrise
Code Geass: Lelouch of the Rebellion R2,TV,9.25,5129,"Apr 06, 2008",Sunrise
Code Geass: Lelouch of the Rebellion Picture Drama - The Night of the Beginning,SPECIAL,8.3,20,"Sep 25, 2013",Bandai Visual
Code Geass: Lelouch of the Rebellion Picture Dramas,SPECIAL,9.15,55,"Jan 27, 2007",Sunrise
Code Geass: Lelouch of the Rebellion R2: Flash Specials,SPECIAL,8.64,28,"Aug 22, 2008",Sunrise
Code Geass: Lelouch of the Rebellion R2 Picture Dramas,SPECIAL,8.15,44,"Aug 22, 2008",Sunrise
Code Geass: Lelouch of the Rebellion R2 Special Edition Zero Requiem,OVA,8.1,35,"Jul 24, 2009",Sunrise
Code Geass: Nunnally in Wonderland,OVA,8.85,109,"Jul 27, 2012",Sunrise
Code Geass: Lelouch of the Rebellion Recaps,SPECIAL,7.54,30,"Dec 01, 2006",Sunrise
Code Geass: Lelouch of the Rebellion Special Edition Black Rebellion,OVA,8.58,47,"Feb 22, 2008",Sunrise
Code: Realize ~Guardian of Rebirth~,TV,8.97,345,"Oct 07, 2017",M.S.C
Code of Gods Havoc,ONA,6.22,72,"Jul 05, 2021",add some
CODE-E,TV,9.38,36,"Jul 04, 2007",Studio Deen
Coffee Break,MOVIE,8.48,28,1977,Takun Manga Box
Code: Realize ~Guardian of Rebirth~ Set a thief to catch a thief,OVA,8.87,75,"May 17, 2018",M.S.C
Code:Breaker,TV,8.23,785,"Oct 07, 2012",Kinema Citrus
Coicent,OVA,7.23,11,"Nov 27, 2010",Sunrise
Coffee Samurai,SPECIAL,9.63,11,"May 30, 2009",CoMix Wave Films
Cogimyun,ONA,6.67,7,"Jul 30, 2017",Gathering
Colorful,TV,5.46,202,"Sep 06, 1999",Triangle Staff
Color Noise,ONA,7.97,42,"Jun 04, 2010",add some
Color Old Master Q,MOVIE,7.93,7,"Jul 16, 1981",add some
Coluboccoro,OVA,7.62,5,2007,Kenji Studio
Colorful ~ The Motion Picture,MOVIE,9.15,274,"Aug 21, 2010",Sunrise
Colorful Ninja Iromaki,MOVIE,8.89,11,"Mar 19, 2016",Signal.MD
Combattler V,TV,8,36,"Apr 17, 1976",Sunrise
Columbos,MOVIE,6.62,15,2012,add some
Combatants Will Be Dispatched!,TV,8.27,6643,"Apr 04, 2021",J.C.Staff
Comet,MUSIC,9.47,89,"Mar 25, 2021",add some
Combining Squadron Mechander Robo,TV,9.3,8,"Mar 03, 1977",TV Tokyo
Come Together! to the Seton Academy,SPECIAL,9.02,78,"Jul 03, 2020",Studio Gokumi
Comet Lucifer: Garden Indigo no Shasou kara,ONA,5.43,15,"Jan 29, 2016",I was a Ballerina
Comet in Moominland,MOVIE,8.3,16,"Aug 08, 1992",Visual 80
Comet Lucifer,TV,7.74,177,"Oct 04, 2015",8bit
Comic Party Revolution,TV,8.04,21,"Apr 04, 2005",Radix
Comic Girls,TV,9.31,454,"Apr 05, 2018",Nexus
Comic Party,TV,9.36,18,"Apr 02, 2001",OLM
Comical Psychosomatic Medicine,ONA,9.12,58,"Feb 13, 2015",Shin-Ei Animation
Comic Party Revolution OVA,OVA,3.25,4,"Dec 22, 2003",Chaos Project
Comic Party Specials,SPECIAL,7.53,7,"Jan 13, 2003",OLM
Compiler 2,OVA,9,8,"Dec 21, 1995",Studio Fantasia
Comics,MOVIE,3.88,13,1979,Takun Manga Box
Compiler,OVA,6.79,16,"Mar 05, 1994",Animate Film
Concrete Revolutio: THE LAST SONG,TV,8.18,58,"Apr 10, 2016",Bones
Conception,TV,7.27,957,"Oct 10, 2018",Gonzo
Concrete Revolutio,TV,7.92,137,"Oct 04, 2015",Bones
Connected,MUSIC,8.74,23,"Jan 01, 2002",Studio 4°C
Condom Battler Gorou,ONA,8.85,290,"Jun 11, 2020",add some
Congming de Yixiu Zhi Fan Dou Gongzhu,MOVIE,8.25,6,"Apr 30, 2014",add some
Contact,SPECIAL,9.7,53,"Jun 21, 2004",RG Animation Studios
Conspiracy of Love,ONA,6.3,28,?,
Consultation Room,MOVIE,4.69,27,2005,add some
Coo: Tooi Umi kara Kita Coo,MOVIE,9.61,14,"Dec 19, 1993",Toei Animation
Contact 2,SPECIAL,8.96,15,2006,RG Animation Studios
Convenience Store Boy Friends,TV,8.11,274,"Jul 07, 2017",Pierrot
Cooking with Valkyries,ONA,9.23,69,"Aug 30, 2019",
Cooking Master Boy,TV,9.23,190,"Apr 27, 1997",Nippon Animation
Cooking Papa,TV,6.81,25,"Apr 09, 1992",Eiken
Cooking with Valkyries 2,ONA,8.85,28,"Sep 19, 2020",
Cooking with Valkyries,ONA,9.06,35,"Jun 28, 2019",Blade
Cooking with Valkyries [Chinese Dub],ONA,8.76,48,"Jun 28, 2019",
Cool Cool Bye,OVA,7.5,8,"Jan 21, 1986",Filmlink International
Cooking with Valkyries 2,ONA,8.52,31,"Jul 17, 2020",Blade
Cooking with Valkyries Spring Festival Special,ONA,8.72,14,"Feb 11, 2021",Blade
Cop Craft: Utsukushiki Onna Kishi! Toraware no Yousei wo Oe!,SPECIAL,7.15,35,"Sep 10, 2019",Millepensee
Cool-headed Hoozuki OVA,OVA,9.65,39,"Feb 23, 2015",Studio Deen
Cop Craft,TV,9.01,1097,"Jul 09, 2019",Millepensee
Corporate Warrior Arslan,SPECIAL,6.88,20,"Oct 05, 2016",W-Toon Studio
Copihan,ONA,6.44,11,"Aug 12, 2011",Gonzo
Coppelion,TV,7.77,86,"Oct 02, 2013",GoHands
Corpse Princess: Aka,TV,8.14,134,"Oct 02, 2008",Gainax
Corpse Party,OVA,7.52,606,"Jul 24, 2013",asread.
Corpse Party: Missing Footage,OVA,7.12,142,"Aug 02, 2012",asread.
Corrector Yui,TV,8.85,44,"Apr 09, 1999",Nippon Animation
Corpse Princess: Kuro,TV,8.28,112,"Jan 01, 2009",Gainax
"Corpse Princess: Kuro - Even So, As a Person",SPECIAL,8.54,25,"Aug 05, 2009",Gainax
COSMO POLICE Justy,OVA,7.13,7,"Jul 20, 1985",Pierrot
Cosmic Baton Girl Comet-san,TV,9.75,27,"Apr 01, 2001",Nippon Animation
Cosmic Fantasy,OVA,8.38,5,"Aug 25, 1994",Tokuma Shoten
Cosmos,ONA,6.21,10,"Jun 06, 2019",A-1 Pictures
Cosmo Warrior Zero,TV,8.23,14,"Jul 06, 2001",Vega Entertainment
Cosmo Warrior Zero - Hunt for Young Harlock,SPECIAL,8.33,4,"Jun 21, 2002",Vega Entertainment
Cosplay COMPLEX: Extra Identification,OVA,6.5,4,"Jul 03, 2004",TNK
Cosmos Pink Shock,OVA,8.12,14,"Jul 21, 1986",AIC
Cosplay Complex,OVA,7.01,29,"May 25, 2002",TNK
Cowboy Bebop: The Movie - Knockin' on Heaven's Door,MOVIE,9.07,474,"Sep 01, 2001",Bones
Cowboy Bebop,TV,9.41,4078,"Apr 03, 1998",Sunrise
Cowboy Bebop: Session XX - Mish-Mash Blues,SPECIAL,8.55,94,"Jun 26, 1998",Sunrise
Crane Game Girls Galaxy,TV,4.63,22,"Oct 05, 2016",Kyotoma
Coyote Ragtime Show,TV,8.37,32,"Jul 04, 2006",ufotable
CØDE:BREAKER (OVA),OVA,8.87,77,"Dec 17, 2012",Kinema Citrus
Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki,MOVIE,8.23,92,"Apr 16, 2016",Shin-Ei Animation
Crash!,SPECIAL,9.75,3,"Nov 13, 2012",TV Tokyo
Crayon Kingdom of Dreams,TV,7.58,87,"Sep 07, 1997",Toei Animation
Crayon Shin-chan: Arashi wo Yobu Appare! Sengoku Daikassen,MOVIE,9.16,57,"Apr 20, 2002",Shin-Ei Animation
Crayon Shin-chan Specials,SPECIAL,8.03,34,"Dec 28, 1992",Shin-Ei Animation
Crayon Shin-chan: Action Mask vs. Leotard Devil,MOVIE,8.51,36,"Jul 24, 1993",Shin-Ei Animation
Crayon Shin-chan: Arashi wo Yobu! Yuuhi no Kasukabe Boys,MOVIE,8.38,65,"Apr 17, 2004",Shin-Ei Animation
Crayon Shin-chan: Arashi wo Yobu Utau Ketsu dake Bakudan!,MOVIE,7.79,29,"Apr 21, 2007",TV Asahi
Crayon Shin-chan: Arashi wo Yobu! Ora to Uchuu no Princess,MOVIE,7.42,21,"Apr 14, 2012",Shin-Ei Animation
Crayon Shin-chan: Blitzkrieg! Pig's Hoof's Secret Mission,MOVIE,8.83,31,"Apr 18, 1998",Shin-Ei Animation
Crayon Shin-chan: Bakauma! B-Kyuu Gourmet Survival Battle!!,MOVIE,8.76,45,"Apr 20, 2013",Shin-Ei Animation
Crayon Shin-chan: Bakumori! Kung Fu Boys - Ramen Tairan,MOVIE,8.33,92,"Apr 13, 2018",Shin-Ei Animation
Crayon Shin-chan: Densetsu wo Yobu Buriburi 3 Pun Dai Shingeki,MOVIE,7.62,27,"Apr 16, 2005",Shin-Ei Animation
Crayon Shin-chan: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,MOVIE,9.47,80,"Apr 17, 2010",Shin-Ei Animation
Crayon Shin-Chan: Den-O vs. Shin-O,SPECIAL,7.31,13,"Aug 03, 2007",TV Asahi
Crayon Shin-chan: Fierceness That Invites Storm! Operation Golden Spy,MOVIE,8.8,50,"Apr 16, 2011",Shin-Ei Animation
Crayon Shin-chan: Densetsu wo Yobu Odore! Amigo!,MOVIE,7.33,139,"Apr 15, 2006",Shin-Ei Animation
Crayon Shin-chan: Explosion! The Hot Spring's Feel Good Final Battle,MOVIE,7.97,41,"Apr 17, 1999",Shin-Ei Animation
Crayon Shin-chan: Fierceness That Invites Storm! Yakiniku Road of Honor,MOVIE,8.58,36,"Apr 19, 2003",Shin-Ei Animation
Crayon Shin-chan: Fierceness That Invites Storm! The Adult Empire Strikes Back,MOVIE,9.05,76,"Apr 21, 2001",Shin-Ei Animation
Crayon Shin-chan: Fierceness That Invites Storm! The Hero of Kinpoko,MOVIE,8.29,25,"Apr 19, 2008",Shin-Ei Animation
Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,MOVIE,8.42,50,"Apr 19, 2019",Shin-Ei Animation
Crayon Shin-chan: Gekitotsu! Rakugaki Kingdom to Hobo Yonin no Yuusha,MOVIE,8.93,68,"Sep 11, 2020",Shin-Ei Animation
Crayon Shin-chan: Great Adventure In Henderland,MOVIE,8.62,47,"Apr 19, 1996",Shin-Ei Animation
Crayon Shin-chan: My Moving Story - The Great Cactus Attack!,MOVIE,8.65,74,"Apr 18, 2015",Shin-Ei Animation
Crayon Shin-chan: Invasion!! Alien Shiriri,MOVIE,8.55,74,"Apr 15, 2017",Shin-Ei Animation
Crayon Shin-chan: Jungle That Invites Storm,MOVIE,8.76,52,"Apr 22, 2000",Shin-Ei Animation
Crayon Shin-chan: Serious Battle! Robot Dad Strikes Back,MOVIE,8.76,43,"Apr 19, 2014",Shin-Ei Animation
Crayon Shin-chan: Otakebe! Kasukabe Yasei Oukoku,MOVIE,8.93,61,"Apr 18, 2009",Shin-Ei Animation
Crayon Shin-chan: Pursuit of the Balls of Darkness,MOVIE,9.23,47,"Apr 19, 1997",Shin-Ei Animation
Crayon Shin-chan: Unkokusai's Ambition,MOVIE,8.84,34,"Apr 15, 1995",Shin-Ei Animation
Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,MOVIE,8.35,128,"Jul 30, 2021",Shin-Ei Animation
Crayon Shin-chan: The Hidden Treasure of the Buri Buri Kingdom,MOVIE,8.91,35,"Apr 23, 1994",Shin-Ei Animation
Crazy World,MOVIE,6.32,12,"Oct 12, 1968",add some
Crayon Shinchan the Movie: The Tornado Legend of Ninja Mononoke,MOVIE,8.34,129,"Apr 22, 2022",Shin-Ei Animation
Crazy little Thing,MOVIE,8.59,11,2014,Geidai Animation
Crest of the Stars Soushuu-hen,SPECIAL,8.24,9,"Apr 07, 2000",Sunrise
Cream Lemon: Ami's Journey,MOVIE,6.53,13,"Jun 21, 1986",APPP
Crest of the Stars,TV,8.89,100,"Jan 03, 1999",Sunrise
Croisée in a Foreign Labyrinth ~ The Animation,TV,9.14,133,"Jul 04, 2011",Satelight
Crimson Wolf,OVA,5.58,15,"Jul 07, 1993",APPP
Crocotires Traction AAA,MOVIE,6.7,12,1999,Polygon Pictures
Cross Ange: Rondo of Angel and Dragon,TV,8.86,1261,"Oct 05, 2014",Sunrise
Croisée in a Foreign Labyrinth OVA,SPECIAL,9.04,41,"Jul 29, 2011",Satelight
Cromartie High School,TV,9.01,232,"Oct 03, 2003",Production I.G
CrossFire: Project Ghost,ONA,7.85,30,"Jul 12, 2019",Joicy Studio
Cross Game,TV,9.31,475,"Apr 05, 2009",SynergySP
Cross Road,SPECIAL,8.64,171,"Feb 25, 2014",CoMix Wave Films
Crusher Joe: The Movie,MOVIE,8.22,25,"Mar 12, 1983",Sunrise
Crossing Time,TV,9.01,274,"Apr 10, 2018",EKACHI EPILKA
Crows,OVA,9.38,39,"Jan 28, 1994",Knack Productions
Crystal Sky of Yesterday,MOVIE,8.96,97,"Oct 26, 2018",Nice Boat Animation
Crusher Joe: The OVAs,OVA,8.17,10,"Feb 05, 1989",Sunrise
Crying Freeman,OVA,8.3,63,"Nov 25, 1988",Toei Animation
Cubic Tragedy,MOVIE,6.53,47,"Jun 08, 2005",add some
Crystal Triangle,OVA,7.02,22,"Jul 22, 1987",Animate Film
Cube-Shaped Pokémon on Cubie Island?!,ONA,7.7,117,"Apr 08, 2023",Shirogumi
CUE! Short Anime,ONA,6.8,11,"Sep 07, 2019",Yumeta Company
Cubix,TV,7.83,13,"Aug 11, 2001",Xebec
CUE!,TV,7.75,340,"Jan 08, 2022",Yumeta Company
Cupid’s Chocolates II,ONA,8.94,857,"Dec 21, 2017",B.CMAY PICTURES
Culture City of East Asia 2019 Toshima,ONA,9.25,4,"Nov 06, 2018",add some
Cupid's Chocolate,ONA,8.32,1234,"Dec 02, 2015",B.CMAY PICTURES
Cute Executive Officer,ONA,8.83,40,"Jan 01, 2021",Project No.9
Cure Miracle and Cure Mofurun's Magic Lesson,MOVIE,7.42,9,"Oct 29, 2016",Kinoshita Group Holdings
Curry Meshi in Miracle,ONA,8.29,18,"Oct 11, 2020",Hololive Production
Cute High Earth Defense Club LOVE! LOVE!,TV,9.04,57,"Jul 08, 2016",Studio Comet
Cute High Earth Defense Club HAPPY KISS!,TV,8.42,109,"Apr 09, 2018",Studio Comet
Cute High Earth Defense Club LOVE!,TV,9.1,102,"Jan 07, 2015",Diomedea
Cutey Honey Flash: The Movie,MOVIE,7.47,13,"Jul 12, 1997",Toei Animation
Cute High Earth Defense Club LOVE! LOVE! LOVE!,OVA,8.16,25,"Aug 26, 2017",Studio Comet
Cutey Honey F,TV,9.23,100,"Feb 15, 1997",Toei Animation
Cutie Honey Universe,TV,7.4,136,"Apr 08, 2018",Production Reed
Cuticle Detective Inaba,TV,8.97,246,"Jan 04, 2013",Zexcs
Cutie Honey,TV,8.33,40,"Oct 13, 1973",Toei Animation
Cyber Team in Akihabara,TV,6.34,15,"Apr 04, 1998",Ashi Productions
CYaZALEA☆Kiss☆DADANDAAAN,SPECIAL,6.5,2,"May 08, 2020",
Cyber City Oedo 808,OVA,9.29,103,"Jun 21, 1990",Madhouse
Cyberpunk: Edgerunners,ONA,9.29,14910,"Sep 13, 2022",Trigger
Cyber Team in Akihabara: 2011 Summer Vacations,MOVIE,6.78,5,"Aug 14, 1999",Production I.G
Cybernetics Guardian,OVA,7.51,21,"Nov 01, 1989",AIC
Cyborg 009,TV,8.95,46,"Mar 06, 1979",Toei Animation
Cybersix,TV,8.73,32,"Sep 06, 1999",Telecom Animation Film
Cyborg 009,TV,9.04,13,"Apr 05, 1968",Toei Animation
Cyborg 009 vs Devilman,OVA,6.25,29,"Nov 11, 2015",Actas
Cyborg 009,MOVIE,8.22,18,"Jul 21, 1966",Toei Animation
Cyborg 009 and the Monster Wars,MOVIE,8.52,17,"Mar 19, 1967",Toei Animation
Cyborg 009: The Cyborg Soldier - Kami no Ubugoe,SPECIAL,6.83,6,"Aug 27, 2003",Japan Vistec
Cyborg 009: Legend of the Super Galaxy,MOVIE,8.17,10,"Dec 20, 1980",Toei Animation
Cyborg 009: The Cyborg Soldier,TV,8.83,69,"Oct 14, 2001",Japan Vistec
Cyborg Kuro-chan,TV,9.05,21,"Oct 02, 1999",Studio Bogey
Cyborg 009: The Cyborg Soldier - Yomi no Gunzou,SPECIAL,7,4,"Sep 22, 2002",add some
Cyborg 009: The Reopening,SPECIAL,5.9,6,"Oct 05, 2010",Production I.G
Cyborg009 Call Of Justice 3,MOVIE,5.49,11,"Dec 09, 2016",OLM Digital
CYBORG009 CALL OF JUSTICE 1,MOVIE,7.24,48,"Nov 25, 2016",OLM Digital
CYBORG009 CALL OF JUSTICE 2,MOVIE,8,12,"Dec 02, 2016",OLM Digital
Cyphers,ONA,7.1,11,"Jun 08, 2011",Studio Ppuri
Cybuster,TV,7.83,24,"May 03, 1999",Production Reed
Cyclops Shoujo Saipuu,ONA,8.14,217,"Mar 12, 2013",add some
D-Frag!,TV,8.92,982,"Jan 07, 2014",Brain's Base
D_CIDE TRAUMEREI THE ANIMATION,TV,7.2,456,"Jul 10, 2021",SANZIGEN
D-1 Devastator,OVA,5.75,22,"Dec 11, 1992",Takara
D.C.~Da Capo~,TV,8.3,116,"Jul 05, 2003",Zexcs
D-Frag! OVA,OVA,9.25,130,"Sep 22, 2014",Brain's Base
D.C. I&II P.S.P. RE-ANIMATED,OVA,5.25,7,"Oct 28, 2010",Zexcs
D.C.II: Da Capo II,TV,7.1,36,"Oct 02, 2007",feel.
D.C.if: Da Capo if,OVA,8.88,19,"Dec 25, 2008",Zexcs
D.C.II S.S.: Da Capo II Second Season,TV,9.34,53,"Apr 06, 2008",feel.
D.C.S.S. ~Da Capo Second Season~,TV,7.76,38,"Jul 02, 2005",feel.
D.C.III: Da Capo III,TV,8.59,67,"Jan 05, 2013",Kazami Gakuen Koushiki Douga-bu
D.C.S.S: Da Capo Second Season Omake,SPECIAL,6.27,7,"Oct 05, 2005",feel.
D.I.C.E.,TV,7.5,14,"Dec 06, 2005",Xebec
D.Gray-man,TV,9.01,1232,"Oct 03, 2006",TMS Entertainment
D.Gray-man HALLOW,TV,8.99,427,"Jul 05, 2016",TMS Entertainment
D4DJ All Mix,TV,8.13,202,"Jan 13, 2023",SANZIGEN
D.N.Angel,TV,8.94,98,"Apr 03, 2003",Xebec
D4 Princess,TV,9.57,17,"Apr 06, 1999",Daume
D4DJ Petit Mix,TV,9.05,42,"Feb 05, 2021",W-Toon Studio
D4DJ Double Mix,SPECIAL,8.4,57,"Aug 19, 2022",SANZIGEN
D4DJ First Mix,TV,9.01,344,"Oct 23, 2020",SANZIGEN
Daa! Daa! Daa!,TV,9.36,130,"Mar 28, 2000",J.C.Staff
Da Capo III Special,SPECIAL,7.3,11,"Dec 31, 2012",Kazami Gakuen Koushiki Douga-bu
Da Shen Xian,ONA,8.42,144,"Feb 25, 2021",CG Year
Dae Jang Geum: Jang Geum's Dream 2,TV,7.72,11,"Mar 14, 2007",Heewon Entertainment
Daddy Long-Legs,SPECIAL,9.29,9,"Oct 10, 1979",Tatsunoko Production
Dae Jang Geum: Jang Geum's Dream,TV,9.07,25,"Oct 29, 2005",Heewon Entertainment
Dai-Guard,TV,9.01,25,"Oct 05, 1999",Xebec
Dagashi Kashi,TV,8.79,805,"Jan 08, 2016",feel.
Dagashi Kashi 2,TV,8.63,391,"Jan 12, 2018",Tezuka Productions
Daigo of Fire Company,MOVIE,8.72,29,"Jul 27, 1999",Sunrise
Dai-Shogun - Great Revolution,TV,8.14,84,"Apr 10, 2014",J.C.Staff
DAICON III Opening Animation,SPECIAL,8.48,22,"Aug 22, 1981",Gainax
Daily Lives of High School Boys,TV,9.3,3257,"Jan 10, 2012",Sunrise
Daigunder,TV,8.46,20,"Apr 05, 2002",Brain's Base
Daikyouryuu Jidai,MOVIE,6,13,"Jul 10, 1979",Toei Animation
Daimidaler: Prince vs. Penguin Empire,TV,8.4,213,"Apr 05, 2014",TNK
Daily Lives of High School Boys Specials,SPECIAL,9.46,337,"Apr 03, 2012",Sunrise
Daimajuu Gekitou Hagane no Oni,OVA,4.29,13,"Dec 10, 1987",AIC
Dallos,OVA,8.1,8,"Dec 21, 1983",Pierrot
Daisy: A Hen into the Wild,MOVIE,8.92,16,"Jul 28, 2011",Odolttogi
DAKAICHI! -I'm being harassed by the sexiest man of the year-,TV,8.16,3718,"Oct 06, 2018",CloverWorks
DamePri Anime Caravan,TV,8.42,242,"Jan 10, 2018",Studio Flad
Dallos Special,OVA,6,5,"May 08, 1985",Pierrot
Damekko Doubutsu,TV,8.73,12,"Jan 17, 2005",Magic Bus
Danball Senki Wars,TV,9.16,40,"Apr 03, 2013",OLM
Dan Dao Zongshi,ONA,7.32,241,"Feb 27, 2023",Quyue Technology
Dan Doh!!,TV,8.76,18,"Apr 03, 2004",Tokyo Kids
Dance in the Vampire Bund,TV,8,551,"Jan 07, 2010",Shaft
Danball Senki Wars: All Star Battle,SPECIAL,8.47,7,"Feb 27, 2014",OLM
Dance Dance Danseur,TV,8.91,714,"Apr 09, 2022",MAPPA
Dance with Devils,TV,7.31,525,"Oct 07, 2015",Brain's Base
Dance in the Vampire Bund: Special Edition,SPECIAL,7.13,51,"Feb 25, 2010",Shaft
Dance Till Tomorrow,OVA,5.29,147,"Jul 25, 1991",Knack Productions
Danchigai,TV,9.06,386,"Jul 10, 2015",Creators in Pack
Dancer of Vermicular,MOVIE,7.83,8,2004,add some
Dances with the Dragons,TV,7.7,340,"Apr 06, 2018",Seven Arcs Pictures
Dancougar: Requiem for Victims,OVA,6.5,5,"Apr 21, 1986",Production Reed
Danchigai Special,SPECIAL,9.56,69,"Sep 18, 2015",Creators in Pack
Dancouga: Super Beast Machine God,TV,8.59,27,"Apr 05, 1985",Production Reed
Danganronpa 3: Monokuma Gekijou,SPECIAL,7.76,55,"Oct 27, 2016",Lerche
Danemon's Monster Hunt at Shojoji,MOVIE,5.06,15,1935,add some
Dangaizer 3,OVA,6.98,18,"Oct 08, 1999",Chaos Project
Danganronpa 3: The End of Hope’s Peak High School - Future Arc,TV,8.78,700,"Jul 11, 2016",Lerche
Danganronpa 3: The End of Hope's Peak High School - Hope Arc,SPECIAL,8.46,223,"Sep 29, 2016",Lerche
Danganronpa 3: The End of Hope’s Peak High School - Despair Arc,TV,8.72,500,"Jul 14, 2016",Lerche
